Filename                                                      Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
Sources/PageLumen/Views/PreviewPane.swift                          38                38     0.00%          20                20     0.00%         326               326     0.00%           0                 0         -
Sources/PageLumen/Views/HomeView.swift                             87                87     0.00%          54                54     0.00%         647               647     0.00%           0                 0         -
Sources/PageLumen/Views/SidebarView.swift                         108               108     0.00%          68                68     0.00%        1225              1225     0.00%           0                 0         -
Sources/PageLumen/Views/SummaryExportView.swift                    88                88     0.00%          54                54     0.00%        1322              1322     0.00%           0                 0         -
Sources/PageLumen/Views/ReviewView.swift                          340               340     0.00%         215               215     0.00%        2541              2541     0.00%           0                 0         -
Sources/PageLumen/Views/ConfidenceChartView.swift                  18                10    44.44%          14                 7    50.00%         124                71    42.74%           0                 0         -
Sources/PageLumen/Views/ProcessingView.swift                       69                69     0.00%          39                39     0.00%         476               476     0.00%           0                 0         -
Sources/PageLumen/Views/OnboardingView.swift                       25                25     0.00%          25                25     0.00%         309               309     0.00%           0                 0         -
Sources/PageLumen/Views/ContentView.swift                          72                72     0.00%          38                38     0.00%         409               409     0.00%           0                 0         -
Tests/PageLumenTests/ScreenshotCaptureErrorTests.swift             18                 3    83.33%          16                 2    87.50%          40                 4    90.00%           0                 0         -
Tests/PageLumenTests/DocumentStoreTests.swift                     358                11    96.93%         342                11    96.78%        1041                13    98.75%           0                 0         -
Tests/PageLumenTests/AudioExportServiceTests.swift                 48                 8    83.33%          31                 1    96.77%         113                 9    92.04%           0                 0         -
Tests/PageLumenTests/PageLumenTipsTests.swift                      10                 0   100.00%          10                 0   100.00%          20                 0   100.00%           0                 0         -
Tests/PageLumenTests/TranslationServiceTests.swift                 90                25    72.22%          42                 9    78.57%         160                35    78.12%           0                 0         -
Tests/PageLumenTests/AppIntentExportTests.swift                    86                 7    91.86%          76                 5    93.42%         288                 6    97.92%           0                 0         -
Tests/PageLumenTests/ConfidenceChartViewTests.swift                 6                 1    83.33%           6                 1    83.33%          31                 1    96.77%           0                 0         -
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                                            5712              2468    56.79%        2686              1103    58.94%       20942             11814    43.59%           0                 0         -
